JavaLand 2016;Phantasialand;Berggeisterstraße;31-41;Brühl;50321;Deutschland;50,800264;6,880859;08.03.2016 09:00;10.03.2016 17:00;JavaLand;DOAG Deutsche ORACLE-Anwendergruppe e.V.,G;GEBIT Solutions,O
Scala Days Berlin 2016;Berlin Congress Center;Alexanderstraße;11;Berlin;10178;Deutschland;52,520627;13,416377;15.06.2016 16:00;17.06.2016 17:00;ScalaDays;Lightbend,O,TRIFORK,O;ING,O,Zalando,O,SAP,O
Scala Days New York 2016;New World Stages;West 50th Street;340;New York;10019;USA;40,762818;-73,987586;09.05.2016 16:00;11.05.2016 17:00;ScalaDays;Lightbend,O,TRIFORK;Jet Brains,O,Paypal,O
DOAG 2016;Nürnberg Convention Center Ost;Messezentrum;;Nürnberg;90471;Deutschland;49,420045;11,12039;15.11.2016;18.11.2016;DOAG2016;DOAG Deutsche ORACLE-Anwendergruppe e.V.,G;Harald Schmidt,P;
FrOSCon 2016;Hochschule Bonn-Rhein-Sieg;Grantham-Allee;20;Sankt Augustin;53757;Deutschland;50,779663;7,182865;20.08.2016 09:30;21.08.2016 19:00;FrOSCon;FB Informatik H-BRS,G,LUUSA,O,FrOSCon e.V.,G;trivago,O,Reply AG,O
JAX 2016;Rheingoldhalle;Rheinstraß;66;Mainz;55116;Deutschland;50,001893;8,275578;18.04.2016;22.04.2016;jaxcon;Software & Support Media Group,O;NTT DATA,O,CODECENTRIC AG,O,ORACLE,O
Software Quality Days 2016;Austria Trend Hotel Savoyen;Rennweg;16;Wien;1030;Öterreich;48,195069;16,384475;18.01.2016;21.01.2016;swqd16;Software Quality Lab GmbH,O;Arbeitskreis Software-Qualität und -Fortbildung e.V.,G,Arbeitsgemeinschaft für Datenverarbeitung (ADV),O
Software Quality Days 2017;Austria Trend Hotel Savoyen;Rennweg;16;Wien;1030;Österreich;48,195069;16,384475;17.01.2017;20.01.2017;swqd17;Software Quality Lab GmbH,O;Arbeitskreis Software-Qualität und -Fortbildung e.V.,G,Austrian Testing Board,O
IOTCON 2016;Holiday Inn Munich City Centre;Hochstraße;3;München;81669;Deutschland;48,130629;11,589464;12.09.2016;15.09.2016;iot16;Software & Support Media Group,O;ADESSO AG,O,COM2M GmbH,O,CHECK24,O
IOTCON 2017;Holiday Inn Munich City Centre;Hochstraße;3;München;81669;Deutschland;48,130629;11,589464;13.03.2017;16.03.2017;iot17;Software & Support Media Group,O;ADESSO AG,,OCOM2M GmbH,O,CHECK24,O
